Colony_ID,X_internal,Y_internal,Z_internal,X_Real_World_Position,Y_Real_World_Position,Z_Real_World_Position,Size
761,57.40065566378098,57.274587939016946,-18.18044039,-16.55340882,1.0198504088393823,-1.551793151,
762,15.815896156560486,45.70428575928724,-13.22073774,-9.313976845,-3.454346799,-1.057657388,
A,-79.52368922,-115.4850922,-15.28457866,-0.646938108,-1.09889326,-0.001684305,
B,-90.26107781,-76.77156059,-15.62706458,-3.922741008,-4.520423245,-1.002777,
C,-51.707859,-15.29273404,-11.80159647,-12.65797399,-4.325368179,-1.586480241,
E,21.87361462434282,15.225754153246116,-10.56099975,-20.38108011,1.3765250586290052,-1.474081769,
765,-67.97956839,-112.770462,-15.02588736,-1.647960339,-0.081024189,0.069894305,
764,-99.9846042,-35.01121013,-17.91759965,-7.544133746,-7.983694121,-2.293119447,
939,-98.45076422,-45.21885637,-15.42200652,-6.634762614,-7.260606082,-1.756572683,
762,-59.60603126,-43.14546147,-11.81251801,-9.322714722,-3.463673524,-1.034335412,
761,2.8475269916513857,-10.20934663,-13.68978275,-16.55254973,1.009321202423466,-1.442271211,
937,-40.7263221,19.291122060801015,-16.50010784,-16.80339058,-5.184903869,-2.818120503,
936,37.401424046982726,12.523542032360305,-13.3001559,-21.03385078,3.186030612110766,-1.600209356,
A,-103.9904632,146.1106720536631,-15.37641062,-0.65187098,-1.093991183,0.015591931313321705,
B,-44.88230899,131.65942393703088,-13.19811978,-3.921569737,-4.531067256,-0.983439175,
C,7.339021593392373,34.78532410791549,-10.77467143,-12.65764079,-4.310368743,-1.654589185,
E,-6.690912878,-84.73050409,-16.08267671,-20.3841472,1.3698846694171776,-1.533255934,
765,-108.9294662,128.9701690367345,-16.64363282,-1.644543196,-0.073940311,0.053290129,
762,-23.57778017,66.08480944926903,-10.20043264,-9.311989749,-3.466604972,-1.048986446,
939,2.6094962699607334,118.73918905379222,-11.12721401,-6.642241511,-7.247802614,-1.758752807,
764,17.48192975426711,113.60558208195224,-13.45799077,-7.545535639,-8.000781359,-2.228647824,
937,45.31882828819388,-4.915101744,-16.94356313,-16.80999997,-5.1964559,-2.816531058,
761,-25.94687622,-40.59806823,-19.97806261,-16.55401263,1.0177861748432742,-1.534153687,
25m,5.241903568337931,-104.6950697,-27.94531077,-22.12839618,1.5674784788122622,-2.646862979,
A,12.294851342430244,-41.12113954,5.7516355472034135,-0.655355737,-1.093922507,0.015472425559295289,
B,-5.714815184,-25.57045931,-0.876185292,-3.9196597,-4.523168354,-0.997048548,
C,-5.32457253,17.680410360846505,-11.90982241,-12.64306993,-4.306387321,-1.63739277,
765,17.383144387181126,-36.06886673,4.744091026826425,-1.654461174,-0.087300834,0.069898826,
761,21.63295368987561,37.403064743994044,-16.98268681,-16.56765001,1.0267680010050428,-1.53861221,
762,-0.638468298,1.3567373542437715,-6.48160162,-9.297715334,-3.462571436,-1.080515548,
A,18.50902556751965,45.80720138331351,-7.767127047,-0.633924777,-1.088196097,0.08301455,
B,13.01966281794017,21.867481227079605,-7.525443953,-3.929809257,-4.525547643,-1.014670508,
C,-25.12495998,0.3542414123929586,-10.96913807,-12.6407231,-4.290753691,-1.690179342,
765,11.731303211145777,47.369087245341014,-9.594071345,-1.653445141,-0.085803636,0.027878769,
764,6.287732144497709,-3.286242739,-7.984525661,-7.559323855,-8.00282185,-2.273611493,
937,-40.31095897,-15.13456248,-14.49697102,-16.78546804,-5.200345392,-2.745165335,
762,-13.01454352,12.904217849850822,-9.341021029,-9.315190425,-3.458806534,-1.061926074,
761,-54.90101633,12.870769575018507,-18.59184267,-16.56604988,1.0169943196670344,-1.546975906,
NC_3_1,-47.99035712,6.795246856452927,-17.23957822,-15.96532745,-0.709831891,-1.832331763,4
NC_3_2,-63.97729002,11.331975034353452,-18.23021027,-18.28886173,1.5873981190772453,-1.288836957,1
NC_3_3,10.464726328214134,9.523995906322824,-6.935179756,-5.581811268,-6.352619063,-1.500992664,3
NC_3_4,8.521562408279504,46.696957522191774,-10.25599005,-2.274696146,0.14421684354847109,-0.03703009,2
NC_1_1,-56.67716099,4.810729099956039,-18.36286915,-17.66333916,-0.15622554,-1.890835538,4
