Colony_ID,X_internal,Y_internal,Z_internal,X_Real_World_Position,Y_Real_World_Position,Z_Real_World_Position,Size
738,-48.80613547,-121.279181,9.154022083821136,-24.21191797,0.2767019680628132,-2.773706187,
734,-7.688821164,-32.81048735,-1.174951429,-4.582431529,-0.886141966,-0.202944156,
A,-0.776468221,-13.37146758,-4.11642462,-0.38416661,-0.774566506,0.12835855172017896,
B,-12.46190356,-33.94729229,-0.732804474,-5.138605163,-0.079746303,-0.382318482,
C,-28.07492062,-78.33475496,4.301816041844511,-14.63787858,-0.424174755,-1.456897222,
D,-35.26639175,-100.8946601,6.9763887720357145,-19.42024264,-0.732038013,-1.944429117,
733,-2.591117851,-16.96021708,-4.21397744,-1.167291736,-0.718295384,-0.083290904,
735,-18.66561659,-69.30156693,2.795115865672743,-12.25722518,-1.517022754,-1.028762789,
736,-28.39934843,-76.28695923,4.730333922637774,-14.30066913,-0.193246378,-1.329896468,
923,-29.88419886,-106.2288056,6.674648950814488,-20.02511784,-2.139881622,-1.896604005,
737,-39.10363794,-99.48059855,7.193968168955379,-19.43077928,0.089296864,-2.047606614,
738,2.153686821093891,84.01148224358332,-23.59749546,-24.22892082,0.25425820492710205,-2.708359708,
734,1.793242139571757,8.856647474012918,-6.90910693,-4.582699094,-0.863934214,-0.1629073,
A,3.1923482275304593,-7.23744294,-4.204985965,-0.370653088,-0.762415376,0.10161817805827722,
C,1.4675945316524004,47.32770537035811,-15.37722209,-14.64693524,-0.41813936,-1.42623234,
D,-0.616991336,65.42326944844389,-19.53178636,-19.42099507,-0.705336273,-1.985246362,
733,3.1823069953239957,-4.248566163,-5.072548364,-1.157684388,-0.732042302,-0.050299723,
735,-2.391066128,37.79464972347248,-14.0306929,-12.24532648,-1.557669367,-1.143311784,
736,2.488375134924889,46.071152074188824,-14.67560358,-14.28855912,-0.159813563,-1.31837402,
923,-6.338829897,67.32151743974904,-19.92926063,-20.02264871,-2.130795957,-1.810013814,
737,2.3193022038605475,65.69017879082426,-19.40791612,-19.43173125,0.050709343,-2.067411447,
738,199.52015426629794,-31.70670617,-2.363612717,-24.22109951,0.2294340608920622,-2.720946068,
734,35.926510973345806,-13.6720934,-10.24690609,-4.577615395,-0.86634229,-0.155829963,
A,1.0990040009560635,-13.04960817,-13.89639463,-0.367823364,-0.772314165,0.076458169,
C,119.73014653727004,-22.06912335,-6.323664665,-14.63529278,-0.406770142,-1.460952814,
D,159.7449239,-21.7045116,-5.155878949,-19.40940572,-0.718998701,-2.050290937,
733,7.727115697560615,-13.82851884,-13.64510543,-1.162521437,-0.723997708,-0.03664725,
735,100.2889552697882,-11.60076807,-8.724446088,-12.24475231,-1.552014332,-1.105779192,
736,116.6602455328689,-23.59930713,-5.019779819,-14.30122711,-0.170769531,-1.293790894,
923,165.24968744953446,-9.852617596,-4.855098654,-20.02988033,-2.144168569,-1.802954963,
737,159.50289763315308,-28.0830351,-3.524844087,-19.43363029,0.073530293,-2.02531343,
738,7.081318363035186,-78.72931673,1.368803459403721,-24.21268145,0.21337397992011436,-2.799224032,
734,4.248217845668661,1.8036053524469893,-5.751200131,-4.589120619,-0.882931199,-0.182634299,
A,2.054185863637082,18.69567110369602,-8.21610934,-0.379293479,-0.778710191,0.066235588,
B,1.127545894266476,-0.773740705,-5.121467552,-5.147283747,-0.05930451,-0.316746429,
C,6.183574404809859,-39.32441756,-1.637668384,-14.64854213,-0.416045172,-1.384928292,
D,9.13764867,-58.72906959,-0.403082982,-19.41642006,-0.719482783,-2.025934238,
733,2.120934946244409,15.439907086031162,-8.063288737,-1.164500144,-0.729713256,-0.073377099,
736,5.148088983031804,-37.95405173,-1.492751295,-14.30031169,-0.185141277,-1.322452937,
923,15.208133574234916,-60.53325161,-0.353637927,-20.01899211,-2.137818616,-1.839796354,
737,5.970827059555957,-59.06124434,0.06792937,-19.4304204,0.067714516,-2.076287658,
735,9.745986261329623,-29.22094834,-3.332181688,-12.25621239,-1.531173561,-1.06815963,
738,42.045613134967084,126.9310306691942,-28.1410091,-24.218039,0.21209115636429754,-2.812154783,
A,-0.059010224,7.1367664324164135,-9.982410513,-0.373195353,-0.772944282,0.06489171,
