Colony_ID,X_internal,Y_internal,Z_internal,X_Real_World_Position,Y_Real_World_Position,Z_Real_World_Position
A,-11.340990036844937,94.9038772925675,-18.17159263523665,-0.47687564975239544,-1.184883135181151,0.015604236053436082
B,-9.770220664736653,64.1351470887729,-15.869375163334398,-2.9288838960275556,-5.3018101773143,-0.45647365842421195
C,-7.663088400163161,33.48857493453685,-11.426339285668453,-5.350630892120639,-9.487192498796734,-0.5922903084207343
D,-5.855638090840917,0.28322749712998413,-8.698277403299102,-7.98794061453746,-13.944177811801616,-1.063397883515248
E,-3.912477567227609,-31.021289803200215,-3.907560400112747,-10.494442812821712,-18.205594922045446,-1.1654585859955569
F,1.169418162881126,-60.263038645720485,-6.799220110094434,-12.245427816548268,-22.342185045496826,-2.3583107329613493
752,-9.755359194718185,31.473049163204042,-10.643278612212113,-5.808717067757251,-9.576685282740776,-0.5470386866251051
751,-6.146916072252353,7.419682355598477,-7.178346586468099,-7.45701271246109,-13.03152289699132,-0.6386481740923009
753,-11.606366980439095,65.75009103591923,-14.713630762849801,-3.0555596216909287,-4.955243163491576,-0.2526829070540857
754,-12.299465023914438,87.42580446320447,-18.00621413143782,-1.236500242643428,-2.061833857837939,-0.17211051780315811
A,-42.98868174593383,-110.9401626532107,-0.6360683882067938,-0.4761297915769559,-1.1864386120718908,0.0021613707602727503
B,-31.026453355956907,-49.57620270064687,-7.930721673901841,-2.9488809439222536,-5.282754542655138,-0.38340714865750913
C,-20.22466095009702,12.855831121261689,-12.65185160354744,-5.349787735977732,-9.487035739128352,-0.578791245786773
D,-7.591801673413639,79.25323481002847,-21.074730113187943,-8.006465366610344,-13.927011387861674,-1.038153945301199
E,4.1686749130614285,143.24952699040912,-24.06214365726352,-10.505151773992973,-18.22006906137949,-1.0934758237147562
F,6.5215178930247815,201.45289607481612,-41.08721954223219,-12.270325572664877,-22.3301123247574,-2.2821661267155497
752,-14.855318249088866,15.884258230784445,-13.243762275099815,-5.815284226441586,-9.566523010418729,-0.5862836520948291
751,-11.53977213689864,65.87679275930464,-18.916488380326438,-7.367954728575887,-13.06877446228711,-0.9191060460326314
